check	state	detail
backend_full_suite	passed	472 passed after test-helper isolation fix
production_env_session_tests	passed	10 passed
related_database_mode_tests	passed	25 passed
runtime_session_expiry_canary	passed	readable before expiry and hidden after expiry
runtime_canary_cleanup	passed	synthetic session removed in finally cleanup
server_release_8af5455	passed	local/public health healthy and direct origin HTTP/HTTPS denied
r129_backup_restore	passed	fresh backup and isolated restore rehearsal passed
r129_remaining_json	blocked	empty users.json generated by container test helper
test_helper_root_cause	passed	default UserService constructed before temporary data_dir reassignment
test_helper_fix	passed	initialization-time data_dir and all affected helpers updated
final_server_sync	pending	awaiting test-helper fix release commit
